Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Josh Giddey,22:36,3,6,.500,0,0,,0,0,,0,4,4,5,1,0,4,1,6,+12,22:36,.500,.500,.000,.000,0.0,18.5,11.5,24.9,2.3,0.0,40.0,20.4,93,96,-5.5
Luguentz Dort,22:32,4,6,.667,2,3,.667,2,2,1.000,0,0,0,1,0,0,0,1,12,+27,22:32,.872,.833,.500,.333,0.0,0.0,0.0,5.3,0.0,0.0,0.0,14.1,189,108,3.6
Shai Gilgeous-Alexander,22:31,10,13,.769,1,1,1.000,7,7,1.000,0,3,3,4,1,0,3,2,28,+26,22:31,.871,.808,.077,.538,0.0,13.9,8.6,30.8,2.3,0.0,15.7,39.0,156,97,11.7
Cason Wallace,20:50,1,2,.500,0,0,,0,0,,0,1,1,0,1,0,1,1,2,+19,20:50,.500,.500,.000,.000,0.0,5.0,3.1,0.0,2.5,0.0,33.3,6.6,66,101,-5.9
Chet Holmgren,20:03,6,6,1.000,2,2,1.000,2,2,1.000,0,6,6,0,0,2,0,1,16,+10,20:03,1.163,1.167,.333,.333,0.0,31.2,19.4,0.0,0.0,9.4,0.0,15.8,237,91,17.3
Tre Mann,23:44,3,7,.429,1,3,.333,0,0,,2,3,5,2,0,0,3,1,7,+17,23:44,.500,.500,.429,.000,14.4,13.2,13.7,9.4,0.0,0.0,30.0,19.4,98,103,-10.2
Jaylin Williams,17:49,3,5,.600,0,1,.000,0,0,,3,4,7,3,1,0,1,3,6,+23,17:49,.600,.600,.200,.000,28.9,23.4,25.5,19.8,2.9,0.0,16.7,15.5,148,92,3.1
Aaron Wiggins,16:08,4,7,.571,2,3,.667,3,3,1.000,2,3,5,1,3,0,2,1,13,+11,16:08,.781,.714,.429,.429,21.3,19.4,20.1,8.0,9.6,0.0,19.4,29.5,141,79,13.4
Lindy Waters III,15:53,4,7,.571,4,7,.571,0,0,,0,3,3,1,0,0,0,0,12,+6,15:53,.857,.857,1.000,.000,0.0,19.7,12.3,8.2,0.0,0.0,0.0,20.3,182,100,11.3
Isaiah Joe,14:13,5,6,.833,5,6,.833,0,0,,0,1,1,1,1,0,1,0,15,+20,14:13,1.250,1.250,1.000,.000,0.0,7.3,4.6,10.5,3.6,0.0,14.3,22.7,188,97,27.9
Dāvis Bertāns,10:41,1,5,.200,1,5,.200,0,0,,0,2,2,2,0,1,0,0,3,+11,10:41,.300,.300,1.000,.000,0.0,19.5,12.1,20.2,0.0,8.8,0.0,21.6,107,96,-4.3
Olivier Sarr,10:08,2,5,.400,2,3,.667,0,0,,1,1,2,0,0,0,0,4,6,+10,10:08,.600,.600,.600,.000,16.9,10.3,12.8,0.0,0.0,0.0,0.0,22.7,144,102,-9.7
Aleksej Pokusevski,8:43,2,3,.667,1,1,1.000,0,0,,2,1,3,4,0,0,0,1,5,+9,8:43,.833,.833,.333,.000,39.3,12.0,22.3,58.0,0.0,0.0,0.0,15.9,212,103,26.3
Kenrich Williams,7:48,1,2,.500,1,1,1.000,0,0,,0,1,1,3,0,0,0,2,3,+11,7:48,.750,.750,.500,.000,0.0,13.4,8.3,43.1,0.0,0.0,0.0,11.8,202,101,12.6
Vasilije Micić,6:19,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,2,0,0,+3,6:19,.000,.000,.000,.000,0.0,0.0,0.0,15.5,0.0,0.0,66.7,21.9,29,108,-26.2
Team Totals,240,49,81,.605,22,36,.611,14,14,1.000,10,33,43,28,8,3,17,18,134,,240,.769,.741,.444,.173,35.7,71.7,58.1,57.1,8.6,5.9,16.3,100.0,143.8,97.7,
