Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Luka Dončić,33:37,9,23,.391,6,15,.400,3,4,.750,2,10,12,14,1,0,2,2,27,+34,33:37,.545,.522,.652,.174,7.3,26.9,18.6,52.4,1.5,0.0,7.5,36.2,129,95,13.2
Kyrie Irving,27:20,6,14,.429,2,6,.333,0,0,,0,3,3,1,1,1,1,2,14,+12,27:20,.500,.500,.429,.000,0.0,9.9,5.7,4.3,1.9,3.2,6.7,24.9,97,99,-6.1
P.J. Washington,23:13,3,5,.600,1,3,.333,0,0,,0,5,5,0,2,1,0,2,7,+19,23:13,.700,.700,.600,.000,0.0,19.5,11.2,0.0,4.4,3.8,0.0,9.8,137,89,2.8
Daniel Gafford,22:48,9,9,1.000,0,0,,2,3,.667,3,4,7,1,1,2,0,4,20,+11,22:48,.969,1.000,.000,.333,16.2,15.9,16.0,6.6,2.2,7.7,0.0,20.6,200,93,15.2
Derrick Jones Jr.,16:18,3,7,.429,2,5,.400,0,0,,0,0,0,2,0,0,0,1,8,+19,16:18,.571,.571,.714,.000,0.0,0.0,0.0,14.0,0.0,0.0,0.0,19.5,127,109,-1.1
Josh Green,23:09,2,3,.667,1,2,.500,0,0,,0,3,3,3,0,0,0,0,5,+26,23:09,.833,.833,.667,.000,0.0,11.7,6.8,13.3,0.0,0.0,0.0,5.9,181,104,1.0
Dereck Lively II,20:00,11,12,.917,0,0,,0,0,,2,5,7,3,2,2,1,3,22,+22,20:00,.917,.917,.000,.000,12.3,22.6,18.3,29.3,5.1,8.7,7.7,29.5,169,83,25.4
Dante Exum,18:51,1,3,.333,0,2,.000,0,0,,1,3,4,2,0,0,1,0,2,+11,18:51,.333,.333,.667,.000,6.5,14.4,11.1,10.5,0.0,0.0,25.0,9.6,91,103,-9.4
Tim Hardaway Jr.,18:10,1,4,.250,0,3,.000,2,2,1.000,0,1,1,4,2,0,0,0,4,-3,18:10,.410,.250,.750,.500,0.0,5.0,2.9,21.9,5.6,0.0,0.0,12.2,126,95,3.7
Maxi Kleber,12:47,0,1,.000,0,1,.000,2,2,1.000,0,4,4,1,0,0,0,1,2,+15,12:47,.532,.000,1.000,2.000,0.0,28.3,16.3,7.4,0.0,0.0,0.0,6.7,143,97,-3.8
Jaden Hardy,7:23,4,5,.800,1,2,.500,2,2,1.000,0,0,0,0,0,0,1,0,11,0,7:23,.935,.900,.400,.400,0.0,0.0,0.0,0.0,0.0,0.0,14.5,42.4,144,109,14.6
A.J. Lawson,6:09,1,5,.200,0,2,.000,1,2,.500,0,1,1,1,1,0,0,1,3,+2,6:09,.255,.200,.400,.400,0.0,14.7,8.5,18.1,8.3,0.0,0.0,43.5,69,85,-18.9
Dwight Powell,5:12,0,1,.000,0,0,,0,0,,2,0,2,1,0,0,0,1,0,+2,5:12,.000,.000,.000,.000,47.3,0.0,20.1,18.1,0.0,0.0,0.0,8.7,136,108,-7.1
Markieff Morris,5:03,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,+5,5:03,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,200,109,-0.1
Team Totals,240,51,93,.548,13,41,.317,12,15,.800,10,39,49,33,10,6,6,17,127,,240,.638,.618,.441,.161,25.6,73.6,53.3,64.7,10.6,10.9,5.7,100.0,134.4,97.3,
