Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Marcus Smart,28:00,4,11,.364,1,7,.143,2,2,1.000,0,2,2,6,4,0,5,3,11,-28,28:00,.463,.409,.636,.182,0.0,9.0,3.7,36.5,6.4,0.0,29.6,23.1,80,118,-6.0
Desmond Bane,27:05,7,19,.368,4,12,.333,3,3,1.000,1,2,3,0,1,0,2,1,21,-25,27:05,.517,.474,.632,.158,3.3,9.3,5.8,0.0,1.7,0.0,9.0,31.6,96,129,-3.2
Jaren Jackson Jr.,26:12,5,17,.294,1,8,.125,8,8,1.000,3,5,8,2,0,1,2,3,19,-25,26:12,.463,.324,.471,.471,10.2,24.1,15.9,14.2,0.0,4.2,8.9,33.0,101,128,-5.3
Ziaire Williams,19:09,2,5,.400,2,5,.400,2,2,1.000,1,3,4,0,0,2,1,2,8,-12,19:09,.680,.600,1.000,.400,4.6,19.8,10.9,0.0,0.0,11.4,14.5,13.8,119,125,-1.5
Xavier Tillman Sr.,13:51,0,3,.000,0,0,,0,0,,3,1,4,0,1,0,2,3,0,-7,13:51,.000,.000,.000,.000,19.3,9.1,15.1,0.0,3.3,0.0,40.0,13.9,34,125,-21.3
David Roddy,23:35,4,8,.500,1,3,.333,0,0,,1,2,3,1,0,1,1,1,9,-17,23:35,.563,.563,.375,.000,3.8,10.7,6.6,7.6,0.0,4.6,11.1,14.6,104,130,-5.3
Luke Kennard,20:52,1,9,.111,1,8,.125,0,0,,0,1,1,3,2,0,0,0,3,-19,20:52,.167,.167,.889,.000,0.0,6.1,2.5,21.1,4.3,0.0,0.0,16.6,57,124,-10.5
Jacob Gilyard,20:00,1,2,.500,1,2,.500,0,0,,0,3,3,6,1,0,0,0,3,+4,20:00,.750,.750,1.000,.000,0.0,18.9,7.8,44.2,2.3,0.0,0.0,3.8,192,126,0.2
Kenneth Lofton Jr.,19:09,4,7,.571,1,1,1.000,3,9,.333,2,3,5,2,2,0,1,5,12,+5,19:09,.547,.643,.143,1.286,9.3,19.8,13.6,20.1,4.7,0.0,8.4,24.0,108,119,0.2
John Konchar,17:31,3,6,.500,1,2,.500,0,0,,3,4,7,2,0,0,0,1,7,-8,17:31,.583,.583,.333,.000,15.2,28.8,20.8,20.5,0.0,0.0,0.0,13.1,141,129,1.0
Vince Williams Jr.,16:06,2,5,.400,1,4,.250,7,8,.875,0,2,2,3,1,3,1,3,12,+9,16:06,.704,.500,.800,1.600,0.0,15.7,6.5,30.8,2.8,20.3,10.5,22.7,143,114,14.2
Jake LaRavia,8:30,2,4,.500,0,2,.000,0,0,,0,0,0,0,0,0,0,0,4,+3,8:30,.500,.500,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,99,135,-9.3
Ja Morant,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
Team Totals,240,35,96,.365,14,54,.259,25,32,.781,14,28,42,25,12,7,15,22,109,,240,.495,.438,.563,.333,25.9,73.7,45.7,71.4,11.3,15.9,12.0,100.0,102.2,124.8,
