Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Stephen Curry,31:14,5,14,.357,3,11,.273,2,2,1.000,0,2,2,5,1,0,4,1,15,+10,31:14,.504,.464,.786,.143,0.0,5.8,3.2,25.3,1.6,0.0,21.2,25.4,93,93,-2.0
Brandin Podziemski,31:14,6,12,.500,1,6,.167,0,0,,1,5,6,6,0,0,0,0,13,+12,31:14,.542,.542,.500,.000,3.6,14.5,9.6,32.0,0.0,0.0,0.0,16.1,134,93,5.8
Andrew Wiggins,28:29,5,8,.625,2,4,.500,2,2,1.000,0,2,2,3,1,1,2,0,14,+12,28:29,.788,.750,.500,.250,0.0,6.4,3.5,17.1,1.7,3.4,18.4,16.0,130,90,8.7
Jonathan Kuminga,28:23,2,9,.222,0,2,.000,2,2,1.000,1,6,7,6,2,3,3,2,6,+15,28:23,.304,.222,.222,.222,3.9,19.1,12.3,29.3,3.5,10.4,23.3,19.0,78,76,2.1
Draymond Green,20:44,2,6,.333,1,2,.500,0,0,,3,10,13,3,1,2,1,2,5,+18,20:44,.417,.417,.333,.000,16.2,43.7,31.4,20.8,2.4,9.4,14.3,14.2,107,68,7.9
Klay Thompson,21:28,5,11,.455,3,8,.375,0,0,,0,2,2,0,1,0,3,0,13,+2,21:28,.591,.591,.727,.000,0.0,8.4,4.7,0.0,2.3,0.0,21.4,27.4,84,90,-1.3
Dario Šarić,15:47,1,4,.250,0,2,.000,0,0,,0,4,4,3,0,0,4,1,2,0,15:47,.250,.250,.500,.000,0.0,23.0,12.7,26.1,0.0,0.0,50.0,21.3,45,89,-15.3
Trayce Jackson-Davis,14:39,1,4,.250,0,0,,0,0,,5,3,8,2,0,0,1,2,2,-11,14:39,.250,.250,.000,.000,38.1,18.5,27.3,18.9,0.0,0.0,20.0,14.3,97,91,-6.1
Gary Payton II,11:28,5,8,.625,1,2,.500,1,2,.500,0,0,0,0,1,0,0,1,12,+6,11:28,.676,.688,.250,.250,0.0,0.0,0.0,0.0,4.3,0.0,0.0,32.5,132,89,13.7
Lester Quinones,10:16,2,5,.400,0,2,.000,1,2,.500,2,2,4,0,0,0,0,2,5,+4,10:16,.425,.400,.400,.400,21.7,17.6,19.5,0.0,0.0,0.0,0.0,24.0,105,91,-6.3
Kevon Looney,10:07,1,3,.333,0,0,,0,0,,1,2,3,0,0,0,1,1,2,+6,10:07,.333,.333,.000,.000,11.0,17.9,14.8,0.0,0.0,0.0,25.0,16.6,62,91,-13.9
Moses Moody,8:22,2,3,.667,1,1,1.000,0,0,,0,0,0,0,0,1,1,1,5,-5,8:22,.833,.833,.333,.000,0.0,0.0,0.0,0.0,0.0,11.7,25.0,20.1,100,93,5.1
Gui Santos,5:04,1,1,1.000,1,1,1.000,0,0,,0,2,2,0,0,0,1,2,3,-4,5:04,1.500,1.500,1.000,.000,0.0,35.7,19.7,0.0,0.0,0.0,50.0,16.6,61,82,0.6
Jerome Robinson,2:45,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,0,2:45,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,0,99,-20.7
Team Totals,240,38,89,.427,13,42,.310,8,10,.800,13,40,53,28,7,7,21,15,97,,240,.519,.500,.472,.112,30.2,75.5,55.2,73.7,7.2,14.3,18.4,100.0,100.4,87.0,
