Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Nikola Jokić,36:16,12,22,.545,3,5,.600,2,4,.500,3,10,13,11,1,1,2,2,29,+15,36:16,.610,.614,.227,.182,9.9,28.8,20.0,45.3,1.4,2.2,7.8,31.8,133,109,15.0
Kentavious Caldwell-Pope,36:15,8,12,.667,2,3,.667,2,2,1.000,1,1,2,1,3,1,3,5,20,+10,36:15,.776,.750,.250,.167,3.3,2.9,3.1,3.5,4.2,2.2,18.9,19.6,122,111,2.0
Aaron Gordon,34:59,7,11,.636,1,2,.500,0,0,,2,5,7,5,2,1,0,0,15,+6,34:59,.682,.682,.182,.000,6.9,14.9,11.2,17.9,2.9,2.2,0.0,14.1,155,110,8.7
Jamal Murray,34:15,8,13,.615,3,5,.600,2,2,1.000,0,2,2,6,0,1,1,3,21,+3,34:15,.756,.731,.385,.154,0.0,6.1,3.3,22.9,0.0,2.3,6.7,19.4,150,119,5.1
Michael Porter Jr.,30:08,5,13,.385,2,9,.222,0,0,,2,10,12,2,2,0,0,1,12,+12,30:08,.462,.462,.692,.000,8.0,34.6,22.2,8.0,3.3,0.0,0.0,19.3,111,104,-0.1
Reggie Jackson,24:04,3,8,.375,2,5,.400,0,0,,0,3,3,1,1,0,2,0,8,+11,24:04,.500,.500,.625,.000,0.0,13.0,7.0,4.7,2.1,0.0,20.0,18.6,82,114,-7.8
Christian Braun,19:20,2,5,.400,0,1,.000,1,2,.500,1,2,3,2,0,1,1,1,5,+5,19:20,.425,.400,.200,.400,6.2,10.8,8.7,11.5,0.0,4.1,14.5,15.9,97,117,-6.1
Zeke Nnaji,11:44,1,3,.333,0,1,.000,2,2,1.000,0,0,0,1,0,0,1,2,4,-3,11:44,.515,.333,.333,.667,0.0,0.0,0.0,9.3,0.0,0.0,20.5,18.6,96,123,-11.8
Peyton Watson,10:50,1,3,.333,1,3,.333,0,0,,0,0,0,0,0,1,1,1,3,+1,10:50,.500,.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,7.3,25.0,16.5,71,118,-9.3
Jalen Pickett,0:43,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,0,0:43,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,123,-9.8
Collin Gillespie,0:43,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0:43,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,123,-8.9
Braxton Key,0:43,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0:43,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.4,200,123,49.2
Justin Holiday,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
DeAndre Jordan,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Julian Strawther,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,48,91,.527,14,34,.412,9,12,.750,9,33,42,29,9,6,11,15,119,,240,.618,.604,.374,.132,22.5,71.7,48.8,60.4,9.4,9.8,10.3,100.0,124.8,112.3,
